date,map_views,search_views,source
01.01.2019,11300,5606,all_verticals
01.02.2019,11274,5294,all_verticals
01.03.2019,12682,6125,all_verticals
01.04.2019,10631,5995,all_verticals
01.05.2019,13712,6310,all_verticals
01.06.2019,13931,5782,all_verticals
01.07.2019,15826,5965,all_verticals
01.08.2019,16127,6184,all_verticals
01.09.2019,17559,5501,all_verticals
01.10.2019,25331,5760,all_verticals
01.11.2019,24419,5825,all_verticals
01.12.2019,26881,6396,all_verticals
01.01.2020,27034,6517,all_verticals
01.02.2020,23334,6241,all_verticals
01.03.2020,12245,6215,all_verticals
01.04.2020,5829,5613,all_verticals
01.05.2020,7919,7554,all_verticals
01.06.2020,11757,8630,all_verticals
01.07.2020,12230,8598,all_verticals
01.08.2020,12738,8532,all_verticals
01.09.2020,12344,8016,all_verticals
01.10.2020,12947,8476,all_verticals
01.11.2020,11384,8878,all_verticals
01.12.2020,12342,9147,all_verticals
01.01.2021,13894,8811,all_verticals
01.02.2021,13792,8115,all_verticals
01.03.2021,18284,9999,all_verticals
01.04.2021,18377,9123,all_verticals
01.05.2021,18870,9970,all_verticals
01.06.2021,19681,9891,all_verticals
01.07.2021,21187,10078,all_verticals
01.08.2021,20654,9664,all_verticals
01.09.2021,19914,9058,all_verticals
01.10.2021,19992,8968,all_verticals
