date,driving_directions,source
01.01.2019,237,all_verticals
01.02.2019,233,all_verticals
01.03.2019,289,all_verticals
01.04.2019,275,all_verticals
01.05.2019,298,all_verticals
01.06.2019,316,all_verticals
01.07.2019,338,all_verticals
01.08.2019,331,all_verticals
01.09.2019,292,all_verticals
01.10.2019,295,all_verticals
01.11.2019,273,all_verticals
01.12.2019,292,all_verticals
01.01.2020,281,all_verticals
01.02.2020,275,all_verticals
01.03.2020,170,all_verticals
01.04.2020,64,all_verticals
01.05.2020,106,all_verticals
01.06.2020,180,all_verticals
01.07.2020,209,all_verticals
01.08.2020,222,all_verticals
01.09.2020,216,all_verticals
01.10.2020,225,all_verticals
01.11.2020,193,all_verticals
01.12.2020,207,all_verticals
01.01.2021,204,all_verticals
01.02.2021,193,all_verticals
01.03.2021,269,all_verticals
01.04.2021,268,all_verticals
01.05.2021,289,all_verticals
01.06.2021,308,all_verticals
01.07.2021,334,all_verticals
01.08.2021,297,all_verticals
01.09.2021,285,all_verticals
01.10.2021,297,all_verticals
