date,phone_calls,website_clicks,source
01.01.2019,126,262,all_verticals
01.02.2019,128,257,all_verticals
01.03.2019,144,300,all_verticals
01.04.2019,141,276,all_verticals
01.05.2019,156,300,all_verticals
01.06.2019,147,318,all_verticals
01.07.2019,159,334,all_verticals
01.08.2019,155,306,all_verticals
01.09.2019,144,266,all_verticals
01.10.2019,143,270,all_verticals
01.11.2019,135,257,all_verticals
01.12.2019,147,274,all_verticals
01.01.2020,145,307,all_verticals
01.02.2020,136,302,all_verticals
01.03.2020,163,250,all_verticals
01.04.2020,141,194,all_verticals
01.05.2020,180,279,all_verticals
01.06.2020,221,353,all_verticals
01.07.2020,218,353,all_verticals
01.08.2020,200,341,all_verticals
01.09.2020,186,320,all_verticals
01.10.2020,180,321,all_verticals
01.11.2020,169,291,all_verticals
01.12.2020,179,312,all_verticals
01.01.2021,167,334,all_verticals
01.02.2021,156,311,all_verticals
01.03.2021,190,412,all_verticals
01.04.2021,184,383,all_verticals
01.05.2021,181,394,all_verticals
01.06.2021,185,401,all_verticals
01.07.2021,190,414,all_verticals
01.08.2021,184,363,all_verticals
01.09.2021,173,332,all_verticals
01.10.2021,160,339,all_verticals
