Year of Date1,Month of Date1,% Difference in Avg. Google Driving Directions Per Loc,Avg. Google Phone Calls Per Loc,Avg. Google Website Clicks Per Loc
2020,December,-40.23%,23.66080819,30.47756768
2020,November,-48.20%,25.29287444,31.62761787
2020,October,-56.49%,29.07839249,36.27824887
2020,September,-57.52%,30.20016205,35.43659342
2020,August,-57.98%,29.31899149,34.62252713
2020,July,-60.99%,30.01590159,34.61554578
2020,June,-64.02%,28.87518566,35.63827477
2020,May,-73.30%,21.17978805,27.7594346
2020,April,-79.73%,18.93105544,27.07551608
2020,March,-41.53%,26.85461274,32.94901562
2020,February,15.75%,28.31769684,38.28651044
2020,January,15.12%,31.95237871,42.19999978
2021,August,102.47%,31.14444425,38.06540189
2021,July,121.34%,30.07071922,39.11192954
2021,June,107.79%,29.91978124,38.70629255
2021,May,167.20%,25.89041615,34.52891021
2021,April,262.93%,27.26792835,37.0416269
2021,March,27.11%,29.26352158,39.65722789
2021,February,-44.20%,23.80789,34.87715935
2021,January,-45.36%,25.22374031,36.70445857
