Year of Date1,Month of Date1,Avg. Google Driving Directions Per Loc,% Difference in Avg. Google Phone Calls Per Loc,Avg. Google Website Clicks Per Loc
2020,December,11.61312835,-10.50%,30.47756768
2020,November,11.19965394,-4.25%,31.62761787
2020,October,11.44459164,-4.72%,36.27824887
2020,September,10.19017734,3.97%,35.43659342
2020,August,9.9565696,-4.73%,34.62252713
2020,July,8.922246654,3.49%,34.61554578
2020,June,9.084839073,8.62%,35.63827477
2020,May,6.563236974,-24.72%,27.7594346
2020,April,4.505000506,-28.49%,27.07551608
2020,March,12.51360218,6.34%,32.94901562
2020,February,24.51077812,22.61%,38.28651044
2020,January,26.41100415,32.43%,42.19999978
2021,August,20.15894568,6.23%,38.06540189
2021,July,19.74882934,0.18%,39.11192954
2021,June,18.877004,3.62%,38.70629255
2021,May,17.53667723,22.24%,34.52891021
2021,April,16.34978743,44.04%,37.0416269
2021,March,15.90545359,8.97%,39.65722789
2021,February,13.67610101,-15.93%,34.87715935
2021,January,14.4320428,-21.06%,36.70445857
