Year of Date1,Month of Date1,Avg. Google Driving Directions Per Loc,Avg. Google Phone Calls Per Loc,% Difference in Avg. Google Website Clicks Per Loc
2020,December,11.61312835,23.66080819,3.32%
2020,November,11.19965394,25.29287444,2.17%
2020,October,11.44459164,29.07839249,-0.29%
2020,September,10.19017734,30.20016205,2.79%
2020,August,9.9565696,29.31899149,-2.33%
2020,July,8.922246654,30.01590159,-0.45%
2020,June,9.084839073,28.87518566,7.44%
2020,May,6.563236974,21.17978805,-14.22%
2020,April,4.505000506,18.93105544,-13.35%
2020,March,12.51360218,26.85461274,4.77%
2020,February,24.51077812,28.31769684,32.42%
2020,January,26.41100415,31.95237871,31.63%
2021,August,20.15894568,31.14444425,9.94%
2021,July,19.74882934,30.07071922,12.99%
2021,June,18.877004,29.91978124,8.61%
2021,May,17.53667723,25.89041615,24.39%
2021,April,16.34978743,27.26792835,36.81%
2021,March,15.90545359,29.26352158,20.36%
2021,February,13.67610101,23.80789,-8.90%
2021,January,14.4320428,25.22374031,-13.02%
