Month of Date1,Year of Date1,Avg. Longtail Clicks Per Loc,Avg. Longtail Impressions Per Loc
January,2019,1.40877289,96.88709703
February,2019,1.62154662,130.8837912
March,2019,1.776312861,72.13754779
April,2019,1.583764812,76.97292038
May,2019,1.890050943,75.18658604
June,2019,1.645525683,62.22849203
July,2019,1.653847352,54.1145078
August,2019,1.698747728,54.094389
September,2019,1.575096034,60.44478868
October,2019,2.008237837,65.8611008
November,2019,1.637640195,71.87825766
December,2019,1.44062119,72.02608465
January,2020,1.928315348,77.72790626
February,2020,1.785389634,69.0802286
March,2020,1.647778429,80.55723654
April,2020,1.641385619,71.97030345
May,2020,1.741221532,71.36132059
June,2020,1.578636789,73.3415432
July,2020,1.548311513,73.460281
August,2020,1.528511775,73.12831795
September,2020,1.632970111,79.56384559
October,2020,1.581816679,99.73859133
November,2020,1.465364489,76.04939972
December,2020,1.32008304,70.14945211
January,2021,1.487666594,81.22434183
February,2021,1.413717981,63.2703208
March,2021,1.670046808,68.31838951
April,2021,1.631271952,69.56684468
May,2021,3.172771001,71.62139069
June,2021,4.025903832,73.49494373
July,2021,3.345645614,84.05827208
August,2021,2.224785074,54.44418085
